Status_Account_A14,credit_duration_ratio,Credit_Amount,credit_age_ratio,age_credit_interaction,Duration,Age,Status_Account_A11,Credit_History_A34,Installment_Rate,Savings_A61,Property_A121,Residence_Since,Status_Account_A12,Other_Plans_A143,Savings_A65,duration_short,Employment_A72,Other_Plans_A141,Housing_A152,Existing_Credits,Purpose_A43,Personal_Status_A93,duration_long,Personal_Status_A92,Job_A173,Employment_A74,Purpose_A40,duration_medium,Purpose_A42
0,167.0,1169,17.191176470588236,78.323,6,67,1,1,4,0,1,4,0,1,1,1,0,0,1,2,1,1,0,0,1,0,0,0,0
0,121.44897959183673,5951,258.7391304347826,130.922,48,22,0,0,2,1,1,2,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0
1,161.23076923076923,2096,41.92,102.704,12,49,0,1,2,1,1,3,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
0,183.30232558139534,7882,171.34782608695653,354.69,42,45,1,0,2,1,0,4,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1
0,194.8,4870,90.18518518518519,258.11,24,53,1,0,3,1,0,4,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0
1,244.72972972972974,9055,251.52777777777777,316.925,36,35,0,0,2,0,0,4,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,113.4,2835,52.5,150.255,24,53,0,0,3,0,0,4,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1
0,187.78378378378378,6948,193.0,243.18,36,35,0,0,2,1,0,2,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1,235.30769230769232,3059,49.33870967741935,186.599,12,61,0,0,2,0,1,4,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
0,168.83870967741936,5234,180.48275862068965,146.552,30,28,0,1,4,1,0,2,1,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0
0,99.61538461538461,1295,49.80769230769231,32.375,12,25,0,0,3,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0
0,87.91836734693878,4308,172.32,103.392,48,24,1,0,3,1,0,4,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0
0,120.53846153846153,1567,68.1304347826087,34.474,12,22,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0
0,47.96,1199,19.65573770491803,71.94,24,60,1,1,4,1,0,4,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0
0,87.6875,1403,48.37931034482759,39.284,15,28,1,0,2,1,0,4,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
