Status_Account_A14,credit_duration_ratio,Credit_Amount,credit_age_ratio,age_credit_interaction,Duration,Age,Status_Account_A11,Credit_History_A34,Installment_Rate,Savings_A61,Property_A121,Residence_Since,Status_Account_A12,Other_Plans_A143,Savings_A65,duration_short,Employment_A72,Other_Plans_A141,Housing_A152,Existing_Credits,Purpose_A43,Personal_Status_A93,duration_long,Personal_Status_A92,Job_A173,Employment_A74,Purpose_A40,duration_medium,Purpose_A42,true_label,predicted_label
0,90.0,2520,105.0,57.96,27,23,0,1,4,0,0,2,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,Good,Bad
0,372.53846153846155,4843,110.06818181818181,208.249,12,43,1,1,3,1,0,4,0,1,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,Good,Bad
1,91.78571428571429,2570,116.81818181818181,53.97,27,21,0,0,3,1,1,3,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,Good,Bad
1,176.30769230769232,2292,53.30232558139535,96.264,12,42,0,1,4,1,0,2,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,Good,Bad
0,247.4375,3959,131.96666666666667,114.811,15,29,1,0,3,1,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,Good,Bad
0,62.44897959183673,3060,105.51724137931035,85.68,48,28,0,0,4,1,1,4,1,1,0,0,0,0,1,2,1,1,1,0,1,1,0,0,0,Good,Bad
0,114.15384615384616,1484,57.07692307692308,37.1,12,25,0,0,2,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,Good,Bad
0,121.44897959183673,5951,258.7391304347826,130.922,48,22,0,0,2,1,1,2,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,Good,Bad
0,395.3157894736842,7511,144.44230769230768,383.061,18,51,1,0,1,0,0,4,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,Good,Bad
0,226.1578947368421,4297,104.8048780487805,171.88,18,40,0,0,4,1,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,Good,Bad
0,74.5,745,25.689655172413794,20.86,9,28,0,0,3,1,1,2,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,Good,Bad
1,106.61538461538461,1386,51.333333333333336,36.036,12,26,0,0,2,0,0,2,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,Good,Bad
0,2079.285714285714,14555,606.4583333333334,334.765,6,23,0,0,1,0,0,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,Good,Bad
0,167.0,1670,72.6086956521739,36.74,9,22,0,0,4,1,0,2,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,Good,Bad
1,147.8,1478,64.26086956521739,32.516,9,22,0,0,4,1,0,2,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,Good,Bad
0,218.54054054054055,8086,188.04651162790697,339.612,36,42,0,0,2,0,0,4,1,1,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,Good,Bad
0,137.44444444444446,1237,49.48,29.688,8,24,0,0,3,1,1,4,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,Good,Bad
0,139.82142857142858,3915,105.8108108108108,140.94,27,36,0,0,4,1,0,2,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,Good,Bad
1,146.05263157894737,2775,86.71875,86.025,18,31,0,1,2,1,0,2,0,0,0,0,0,1,1,2,0,1,0,0,1,1,1,1,0,Good,Bad
1,206.6734693877551,10127,225.04444444444445,445.588,48,44,0,1,2,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,Good,Bad
1,183.64,4591,83.47272727272727,247.914,24,54,0,0,2,0,0,3,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,Good,Bad
0,85.23076923076923,1108,38.206896551724135,31.024,12,28,1,0,4,1,1,3,0,1,0,1,0,0,1,2,0,1,0,0,1,1,0,0,0,Good,Bad
0,269.15384615384613,3499,116.63333333333334,101.471,12,29,1,1,3,1,1,2,0,1,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,Good,Bad
0,165.30769230769232,2149,71.63333333333334,62.321,12,29,1,0,4,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,Good,Bad
0,54.32,1358,33.1219512195122,54.32,24,40,1,0,4,0,0,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,Good,Bad
0,172.71428571428572,1209,25.1875,56.823,6,47,0,0,4,1,0,4,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,Good,Bad
0,47.96,1199,19.65573770491803,71.94,24,60,1,1,4,1,0,4,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0,Good,Bad
0,476.84615384615387,6199,213.75862068965517,173.572,12,28,1,0,4,1,0,2,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,Good,Bad
0,334.8378378378378,12389,326.0263157894737,458.393,36,37,0,0,1,0,0,4,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,Good,Bad
0,2128.0,14896,215.8840579710145,1012.928,6,68,1,0,1,1,0,4,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,Good,Bad
0,204.83870967741936,6350,198.4375,196.85,30,31,1,0,4,0,0,4,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,Good,Bad
