feature,importance
Status_Account_A14,0.07689711389611471
credit_duration_ratio,0.07136785603208814
Credit_Amount,0.062191454810764484
credit_age_ratio,0.060905401231235404
age_credit_interaction,0.05987631195957707
Duration,0.05472320597191871
Age,0.04684077690341714
Status_Account_A11,0.03285275773443124
Credit_History_A34,0.026346404713112465
Installment_Rate,0.025281087050933713
Savings_A61,0.021503611099282952
Property_A121,0.01882566699257941
Residence_Since,0.01868852439905647
Status_Account_A12,0.01834166417613631
Other_Plans_A143,0.015316542758057232
Savings_A65,0.014777193467979777
duration_short,0.014540534465473128
Employment_A72,0.014110093254023674
Other_Plans_A141,0.013845176373133658
Housing_A152,0.012823209919558322
Existing_Credits,0.012512987065337084
Purpose_A43,0.012188201463644523
Personal_Status_A93,0.011691806597657152
duration_long,0.011037048382695012
Personal_Status_A92,0.010456565599782624
Job_A173,0.010330239313881051
Employment_A74,0.010330090424251634
Purpose_A40,0.009536361539065558
duration_medium,0.00951542499916242
Purpose_A42,0.009407304139382464
Property_A123,0.009170052679668361
Employment_A75,0.008945048827432377
Credit_History_A32,0.008849025836934851
Telephone_A192,0.008633707826325464
Property_A124,0.008488327366331807
Property_A122,0.008270877903483008
Employment_A73,0.00806872227445592
Job_A174,0.007931746846839633
Job_A172,0.007853831284526247
Num_Dependents,0.007773160564636147
Housing_A151,0.007467824440844571
age_middle,0.007359882919403499
Telephone_A191,0.007221745882163411
Credit_History_A33,0.007135036895915705
Purpose_A41,0.0070624203633769846
credit_medium,0.006843729195053877
credit_low,0.006245392060974396
Purpose_A46,0.006097676337555761
Savings_A62,0.0050072801422452904
Other_Debtors_A103,0.00474524298007832
Status_Account_A13,0.0046679112999583215
Credit_History_A31,0.004539246212567188
Other_Debtors_A101,0.004513753676558926
Credit_History_A30,0.004398402969298137
age_young,0.004140888529510158
Savings_A64,0.004036466514472806
Personal_Status_A94,0.003926264680765704
Housing_A153,0.0038244840255631522
credit_high,0.0037519432032950576
Purpose_A49,0.00360398041576921
Personal_Status_A91,0.0035223244999381623
Other_Plans_A142,0.00302480305924247
Employment_A71,0.0030226964482185903
Other_Debtors_A102,0.002763176179522896
Foreign_Worker_A202,0.002640472445801359
Savings_A63,0.002386527003760889
Foreign_Worker_A201,0.0020694784700815527
age_senior,0.0010960889760985337
Job_A171,0.0006801510532285644
Purpose_A45,0.0006628303694045978
Purpose_A44,0.00023418882727593363
Purpose_A410,0.00022640457052482607
Purpose_A48,3.6167207163787164e-05
